🕘️更新时间,#genre#
CCTV-11,http://120.202.94.181:9446/tsfile/live/0011_1.m3u8?key=txiptv$订阅源
CCTV-11,http://120.202.94.181:9446/tsfile/live/0011_1.m3u8?key=txiptv$订阅源
CCTV-12,https://iptv.catvod.com/live.php?id=CCTV12&line=1$订阅源
CCTV-12,https://live.264788.xyz/channel/cctv12?streamid=2f2d9ed82e6e7edae66f9af09f19cced&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk$订阅源
CCTV-12,http://39.165.39.49:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-12,http://222.223.41.27:8888/hls/12/index.m3u8$订阅源
CCTV-12,http://60.10.139.113:8801/hls/11/index.m3u8$订阅源
CCTV-12,http://116.128.243.121:9905/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-12,http://120.202.94.181:9446/tsfile/live/0012_1.m3u8?key=txiptv$订阅源
CCTV-12,http://www.negative.top:50000/rtp/233.50.200.21:5140$订阅源
CCTV-13,https://iptv.catvod.com/live.php?id=CCTV13&line=10$订阅源
CCTV-13,https://live.264788.xyz/channel/cctv13?streamid=ceb09a1a782b93dd7f13c95e7bc5d37b&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk$订阅源
CCTV-13,http://39.165.39.49:85/tsfile/live/1084_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-13,http://222.223.41.27:8888/hls/13/index.m3u8$订阅源
CCTV-13,http://60.10.139.113:8801/hls/12/index.m3u8$订阅源
CCTV-13,http://116.128.243.121:9905/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-13,http://120.202.94.181:9446/tsfile/live/0013_1.m3u8?key=txiptv$订阅源
CCTV-13,http://www.negative.top:50000/rtp/233.50.200.97:5140$订阅源
CCTV-14,https://iptv.catvod.com/live.php?id=CCTV14&line=1$订阅源
CCTV-14,https://live.264788.xyz/channel/cctv14?streamid=d97345047af477cfec39d9d99a9e62f8&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk$订阅源
CCTV-14,http://39.165.39.49:85/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-14,http://222.223.41.27:8888/hls/14/index.m3u8$订阅源
CCTV-14,http://60.10.139.113:8801/hls/13/index.m3u8$订阅源
